date,home_team,score,away_team
17-10-2021,Celta,0 - 1,Sevilla
24-10-2021,Sevilla,5 - 3,Levante
27-10-2021,Mallorca,1 - 1,Sevilla
30-10-2021,Sevilla,2 - 0,Osasuna
07-11-2021,Betis,0 - 2,Sevilla
20-11-2021,Sevilla,2 - 2,Alaves
28-11-2021,Real Madrid,2 - 1,Sevilla
04-12-2021,Sevilla,1 - 0,Villarreal
11-12-2021,Ath Bilbao,0 - 1,Sevilla
18-12-2021,Sevilla,2 - 1,Ath Madrid
21-12-2021,Sevilla,1 - 1,Barcelona
03-01-2022,Cadiz,0 - 1,Sevilla
09-01-2022,Sevilla,1 - 0,Getafe
19-01-2022,Valencia,1 - 1,Sevilla
22-01-2022,Sevilla,2 - 2,Celta
05-02-2022,Osasuna,0 - 0,Sevilla
11-02-2022,Sevilla,2 - 0,Elche
20-02-2022,Espanol,1 - 1,Sevilla
27-02-2022,Sevilla,2 - 1,Betis
04-03-2022,Alaves,0 - 0,Sevilla
13-03-2022,Vallecano,1 - 1,Sevilla
20-03-2022,Sevilla,0 - 0,Sociedad
03-04-2022,Barcelona,1 - 0,Sevilla
08-04-2022,Sevilla,4 - 2,Granada
17-04-2022,Sevilla,2 - 3,Real Madrid
21-04-2022,Levante,2 - 3,Sevilla
29-04-2022,Sevilla,1 - 1,Cadiz
08-05-2022,Villarreal,1 - 1,Sevilla
11-05-2022,Sevilla,0 - 0,Mallorca
15-05-2022,Ath Madrid,1 - 1,Sevilla
22-05-2022,Sevilla,1 - 0,Ath Bilbao
15-08-2021,Barcelona,4 - 2,Sociedad
22-08-2021,Sociedad,1 - 0,Vallecano
28-08-2021,Sociedad,1 - 0,Levante
12-09-2021,Cadiz,0 - 2,Sociedad
19-09-2021,Sociedad,0 - 0,Sevilla
23-09-2021,Granada,2 - 3,Sociedad
26-09-2021,Sociedad,1 - 0,Elche
03-10-2021,Getafe,1 - 1,Sociedad
16-10-2021,Sociedad,1 - 0,Mallorca
24-10-2021,Ath Madrid,2 - 2,Sociedad
28-10-2021,Celta,0 - 2,Sociedad
31-10-2021,Sociedad,1 - 1,Ath Bilbao
07-11-2021,Osasuna,0 - 2,Sociedad
21-11-2021,Sociedad,0 - 0,Valencia
28-11-2021,Espanol,1 - 0,Sociedad
04-12-2021,Sociedad,0 - 2,Real Madrid
12-12-2021,Betis,4 - 0,Sociedad
18-12-2021,Sociedad,1 - 3,Villarreal
02-01-2022,Alaves,1 - 1,Sociedad
08-01-2022,Sociedad,1 - 0,Celta
23-01-2022,Sociedad,0 - 0,Getafe
06-02-2022,Valencia,0 - 0,Sociedad
13-02-2022,Sociedad,2 - 0,Granada
20-02-2022,Ath Bilbao,4 - 0,Sociedad
27-02-2022,Sociedad,1 - 0,Osasuna
02-03-2022,Mallorca,0 - 2,Sociedad
05-03-2022,Real Madrid,4 - 1,Sociedad
13-03-2022,Sociedad,1 - 0,Alaves
20-03-2022,Sevilla,0 - 0,Sociedad
04-04-2022,Sociedad,1 - 0,Espanol
10-04-2022,Elche,1 - 2,Sociedad
15-04-2022,Sociedad,0 - 0,Betis
21-04-2022,Sociedad,0 - 1,Barcelona
01-05-2022,Vallecano,1 - 1,Sociedad
06-05-2022,Levante,2 - 1,Sociedad
12-05-2022,Sociedad,3 - 0,Cadiz
15-05-2022,Villarreal,1 - 2,Sociedad
22-05-2022,Sociedad,1 - 2,Ath Madrid
13-08-2021,Valencia,1 - 0,Getafe
21-08-2021,Granada,1 - 1,Valencia
27-08-2021,Valencia,3 - 0,Alaves
12-09-2021,Osasuna,1 - 4,Valencia
19-09-2021,Valencia,1 - 2,Real Madrid
22-09-2021,Sevilla,3 - 1,Valencia
25-09-2021,Valencia,1 - 1,Ath Bilbao
02-10-2021,Cadiz,0 - 0,Valencia
17-10-2021,Barcelona,3 - 1,Valencia
23-10-2021,Valencia,2 - 2,Mallorca
27-10-2021,Betis,4 - 1,Valencia
30-10-2021,Valencia,2 - 0,Villarreal
07-11-2021,Valencia,3 - 3,Ath Madrid
21-11-2021,Sociedad,0 - 0,Valencia
27-11-2021,Valencia,1 - 1,Vallecano
05-12-2021,Celta,1 - 2,Valencia
11-12-2021,Valencia,2 - 1,Elche
20-12-2021,Levante,3 - 4,Valencia
31-12-2021,Valencia,1 - 2,Espanol
08-01-2022,Real Madrid,4 - 1,Valencia
19-01-2022,Valencia,1 - 1,Sevilla
22-01-2022,Ath Madrid,3 - 2,Valencia
06-02-2022,Valencia,0 - 0,Sociedad
13-02-2022,Alaves,2 - 1,Valencia
20-02-2022,Valencia,1 - 4,Barcelona
26-02-2022,Mallorca,0 - 1,Valencia
05-03-2022,Valencia,3 - 1,Granada
12-03-2022,Getafe,0 - 0,Valencia
19-03-2022,Elche,0 - 1,Valencia
03-04-2022,Valencia,0 - 0,Cadiz
11-04-2022,Vallecano,1 - 1,Valencia
16-04-2022,Valencia,1 - 2,Osasuna
19-04-2022,Villarreal,2 - 0,Valencia
30-04-2022,Valencia,1 - 1,Levante
07-05-2022,Ath Bilbao,0 - 0,Valencia
10-05-2022,Valencia,0 - 3,Betis
14-05-2022,Espanol,1 - 1,Valencia
21-05-2022,Valencia,2 - 0,Celta
15-08-2021,Sevilla,3 - 0,Vallecano
22-08-2021,Sociedad,1 - 0,Vallecano
29-08-2021,Vallecano,4 - 0,Granada
11-09-2021,Levante,1 - 1,Vallecano
18-09-2021,Vallecano,3 - 0,Getafe
21-09-2021,Ath Bilbao,1 - 2,Vallecano
26-09-2021,Vallecano,3 - 1,Cadiz
02-10-2021,Osasuna,1 - 0,Vallecano
17-10-2021,Vallecano,2 - 1,Elche
24-10-2021,Betis,3 - 2,Vallecano
27-10-2021,Vallecano,1 - 0,Barcelona
01-11-2021,Vallecano,0 - 0,Celta
06-11-2021,Real Madrid,2 - 1,Vallecano
22-11-2021,Vallecano,3 - 1,Mallorca
27-11-2021,Valencia,1 - 1,Vallecano
05-12-2021,Vallecano,1 - 0,Espanol
12-12-2021,Villarreal,2 - 0,Vallecano
18-12-2021,Vallecano,2 - 0,Alaves
02-01-2022,Ath Madrid,2 - 0,Vallecano
09-01-2022,Vallecano,1 - 1,Betis
23-01-2022,Vallecano,0 - 1,Ath Bilbao
05-02-2022,Celta,2 - 0,Vallecano
12-02-2022,Vallecano,0 - 3,Osasuna
18-02-2022,Elche,2 - 1,Vallecano
26-02-2022,Vallecano,0 - 1,Real Madrid
06-03-2022,Cadiz,2 - 0,Vallecano
13-03-2022,Vallecano,1 - 1,Sevilla
19-03-2022,Vallecano,0 - 1,Ath Madrid
03-04-2022,Granada,2 - 2,Vallecano
11-04-2022,Vallecano,1 - 1,Valencia
16-04-2022,Alaves,1 - 0,Vallecano
21-04-2022,Espanol,0 - 1,Vallecano
24-04-2022,Barcelona,0 - 1,Vallecano
01-05-2022,Vallecano,1 - 1,Sociedad
08-05-2022,Getafe,0 - 0,Vallecano
12-05-2022,Vallecano,1 - 5,Villarreal
15-05-2022,Mallorca,2 - 1,Vallecano
20-05-2022,Vallecano,2 - 4,Levante
16-08-2021,Villarreal,0 - 0,Granada
21-08-2021,Espanol,0 - 0,Villarreal
29-08-2021,Ath Madrid,2 - 2,Villarreal
19-09-2021,Mallorca,0 - 0,Villarreal
22-09-2021,Villarreal,4 - 1,Elche
25-09-2021,Real Madrid,0 - 0,Villarreal
03-10-2021,Villarreal,2 - 0,Betis
17-10-2021,Villarreal,1 - 2,Osasuna
23-10-2021,Ath Bilbao,2 - 1,Villarreal
26-10-2021,Villarreal,3 - 3,Cadiz
30-10-2021,Valencia,2 - 0,Villarreal
07-11-2021,Villarreal,1 - 0,Getafe
20-11-2021,Celta,1 - 1,Villarreal
27-11-2021,Villarreal,1 - 3,Barcelona
04-12-2021,Sevilla,1 - 0,Villarreal
12-12-2021,Villarreal,2 - 0,Vallecano
18-12-2021,Sociedad,1 - 3,Villarreal
21-12-2021,Villarreal,5 - 2,Alaves
03-01-2022,Villarreal,5 - 0,Levante
09-01-2022,Villarreal,2 - 2,Ath Madrid
16-01-2022,Elche,1 - 0,Villarreal
22-01-2022,Villarreal,3 - 0,Mallorca
06-02-2022,Betis,0 - 2,Villarreal
12-02-2022,Villarreal,0 - 0,Real Madrid
19-02-2022,Granada,1 - 4,Villarreal
27-02-2022,Villarreal,5 - 1,Espanol
05-03-2022,Osasuna,1 - 0,Villarreal
12-03-2022,Villarreal,1 - 0,Celta
20-03-2022,Cadiz,1 - 0,Villarreal
02-04-2022,Levante,2 - 0,Villarreal
09-04-2022,Villarreal,1 - 1,Ath Bilbao
16-04-2022,Getafe,1 - 2,Villarreal
19-04-2022,Villarreal,2 - 0,Valencia
30-04-2022,Alaves,2 - 1,Villarreal
08-05-2022,Villarreal,1 - 1,Sevilla
12-05-2022,Vallecano,1 - 5,Villarreal
15-05-2022,Villarreal,1 - 2,Sociedad
22-05-2022,Barcelona,0 - 2,Villarreal
